CSDUID,CSD,Year,Dwelling units,Population
4806016,Calgary,2001,348902,903916
4806016,Calgary,2002,360129,929118
4806016,Calgary,2003,371756,947086
4806016,Calgary,2004,383701,966449
4806016,Calgary,2005,395799,995897
4806016,Calgary,2006,408543,1027816
4806016,Calgary,2007,420311,1052667
4806016,Calgary,2008,432997,1079960
4806016,Calgary,2009,438663,1107760
4806016,Calgary,2010,445455,1122129
4806016,Calgary,2011,450952,1140691
4806016,Calgary,2012,459339,1171192
4806016,Calgary,2013,468358,1208313
4806016,Calgary,2014,478223,1242004
4806016,Calgary,2015,492623,1261453
4806016,Calgary,2016,499222,1278707
4806016,Calgary,2017,506392,1289970
4806016,Calgary,2018,515391,1306586
4806016,Calgary,2019,521257,1330058
4806016,Calgary,2020,530767,1351294
4806016,Calgary,2021,540648,1356293
4806016,Calgary,2022,573805,1394919
4806016,Calgary,2023,574293,1481466
4811061,Edmonton,2001,275816,684092
4811061,Edmonton,2002,277749,699229
4811061,Edmonton,2003,287495,710000
4811061,Edmonton,2004,291111,720652
4811061,Edmonton,2005,311663,737596
4811061,Edmonton,2006,314362,758721
4811061,Edmonton,2007,314177,778434
4811061,Edmonton,2008,321747,796176
4811061,Edmonton,2009,323300,817073
4811061,Edmonton,2010,328867,830604
4811061,Edmonton,2011,341674,844981
4811061,Edmonton,2012,348140,864734
4811061,Edmonton,2013,356063,892692
4811061,Edmonton,2014,389527,923355
4811061,Edmonton,2015,389527,944268
4811061,Edmonton,2016,387950,964639
4811061,Edmonton,2017,387950,983238
4811061,Edmonton,2018,387950,1002920
4811061,Edmonton,2019,387950,1026499
4811061,Edmonton,2020,387950,1046556
4811061,Edmonton,2021,387950,1050945
4811061,Edmonton,2022,428857,1073761
4811061,Edmonton,2023,428857,1128811
